2021-08-29 10:36:32.326 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/anim/grow_from_bottom.xml
2021-08-29 10:36:32.327 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/anim/grow_from_bottomleft_to_topright.xml
2021-08-29 10:36:32.328 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/anim/grow_from_bottomright_to_topleft.xml
2021-08-29 10:36:32.328 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/anim/grow_from_top.xml
2021-08-29 10:36:32.328 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/anim/grow_from_topleft_to_bottomright.xml
2021-08-29 10:36:32.328 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/anim/grow_from_topright_to_bottomleft.xml
2021-08-29 10:36:32.328 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/anim/layout_bottom_to_top_slide.xml
2021-08-29 10:36:32.328 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/anim/progress_medium.xml
2021-08-29 10:36:32.328 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/anim/push_left_in.xml
2021-08-29 10:36:32.328 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/anim/rail.xml
2021-08-29 10:36:32.328 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/anim/shrink_from_bottom.xml
2021-08-29 10:36:32.328 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/anim/shrink_from_bottomleft_to_topright.xml
2021-08-29 10:36:32.329 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/anim/shrink_from_bottomright_to_topleft.xml
2021-08-29 10:36:32.329 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/anim/shrink_from_top.xml
2021-08-29 10:36:32.329 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/anim/shrink_from_topleft_to_bottomright.xml
2021-08-29 10:36:32.329 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/anim/shrink_from_topright_to_bottomleft.xml
2021-08-29 10:36:32.329 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/anim/slide_top_to_bottom.xml
2021-08-29 10:36:32.329 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ambilwarna_arrow_down.png
2021-08-29 10:36:32.329 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ambilwarna_arrow_right.png
2021-08-29 10:36:32.329 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ambilwarna_cursor.png
2021-08-29 10:36:32.330 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ambilwarna_hue.png
2021-08-29 10:36:32.330 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ambilwarna_keker.png
2021-08-29 10:36:32.330 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ambilwarna_menjadi.png
2021-08-29 10:36:32.330 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ambilwarna_panah.png
2021-08-29 10:36:32.330 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ambilwarna_target.png
2021-08-29 10:36:32.330 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ayuda_scan.png
2021-08-29 10:36:32.330 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ayuda_share.png
2021-08-29 10:36:32.330 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_abajo.png
2021-08-29 10:36:32.330 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_ad.png
2021-08-29 10:36:32.331 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_ad_equis.png
2021-08-29 10:36:32.331 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_ad_gameloft.png
2021-08-29 10:36:32.331 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_ad_gameloft2.png
2021-08-29 10:36:32.331 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_ad_gameloft3.png
2021-08-29 10:36:32.331 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_ad_lookout.png
2021-08-29 10:36:32.331 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_ad_lookout2.png
2021-08-29 10:36:32.331 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_ad_lookout3.png
2021-08-29 10:36:32.331 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_ad_lookout4.png
2021-08-29 10:36:32.331 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_derecha.png
2021-08-29 10:36:32.332 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_ico_bar.png
